170710_1310,1,globals,Period,NumPeriods,RepeatTreatment,Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,globals,1,1,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Proposer,Offer,OfferOther,r1,r2,Random,RandomOther,TimeOKInitialInfoOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,summary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,Subject,FinalProfit,ShowUpFee,ShowUpFeeInvested,MoneyAdded,MoneyToPay,MoneyEarned,GroupM1,ProfitM1,ProposerM1,OfferM1,OfferOtherM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,1,0,0,0,0,0,0,5,900,1,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,2,0,0,0,0,0,0,6,600,1,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,3,0,0,0,0,0,0,2,600,1,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,4,0,0,0,0,0,0,1,500,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,5,0,0,0,0,0,0,2,400,0,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,6,0,0,0,0,0,0,6,400,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,7,0,0,0,0,0,0,3,500,1,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,8,0,0,0,0,0,0,1,500,1,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,9,0,0,0,0,0,0,7,500,0,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,10,0,0,0,0,0,0,7,500,1,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,11,0,0,0,0,0,0,5,100,0,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,12,0,0,0,0,0,0,4,600,1,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,13,0,0,0,0,0,0,8,100,0,400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,14,0,0,0,0,0,0,8,900,1,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,15,0,0,0,0,0,0,3,500,0,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,session,16,0,0,0,0,0,0,4,400,0,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,3,globals,Period,NumPeriods,RepeatTreatment,Debug,nGroups,length,nNumbers,TRet,ECUperAdd,TaxRate,TaxRateToShow,AuditRate,PercentageFine,MPCR,R,RoundToPay,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,3,globals,1,10,0,0,1,2,2,60,150,0.1,10,0,0.5,0.25,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,3,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,pred_reward,pred0,pred1,pred2,randround1,randround2,ProfitM2_prediction,RoundToPay,nCorrectRET,ProfitRET,Declared,Deduction,TotalDeduction,Cheat,Type,Random,Audited,Fine,DeductionsGroup,ReceivedFromGroup,Bonus,TimeOKInitialInfoOK,TimeFourthMostCorrectInitialPerformanceQuestionOK,TimeThirdMostCorrectInitialPerformanceQuestionOK,TimeSecondMostCorrectInitialPerformanceQuestionOK,TimeMostCorrectInitialPerformanceQuestionOK,nAdding,rand,limit,limitInf,nCorrectSum,correctAct,add1,add2,add3,add4,add5,i,sumSol,TimeOKRETAddingOK,TimeFourthMostCorrectRandomPerformanceQuestionOK,TimeThirdMostCorrectRandomPerformanceQuestionOK,TimeSecondMostCorrectRandomPerformanceQuestionOK,TimeMostCorrectRandomPerformanceQuestionOK,ingroupRank1,ingroupRank2,predCorrect,TimeOKDeclareOK,RoundToPayM2,CorrectAnsM2,ProfitRETM2,AuditedM2,DeclaredM2,DeductionM2,GroupPayM2,ProfitM2,TimeOKResultsOK
170710_1310,3,subjects,1,1,3,0,0,1,100,2,0,0,5,2,0,2,12,1800,1800,180,180,0,-1,0.150054785,0,0,400,100,0,23,0,0,19,0,99,-1,99,10,12,1,62,48,84,89,83,1,99,3,0,0,0,0,0,1,0,-4,0,1,150,0,0,90,90,82.5,11
170710_1310,3,subjects,1,2,1,0,0,1,100,4,0,0,8,2,0,2,7,1050,0,0,0,1,-1,0.328886041,0,0,55,13.75,0,29,24,0,0,0,141,-1,99,10,7,1,72,43,16,26,86,1,141,4,-,-,-,-,2,3,0,26,-,-,-,-,-,-,-,-,24
170710_1310,3,subjects,1,3,2,0,0,1,100,3,0,0,4,3,0,2,8,1200,1050,105,105,1,-1,0.981972455,0,0,600,150,0,22,0,24,0,0,50,-1,99,10,8,1,67,16,67,86,30,1,50,1,-,-,-,-,3,4,0,4,-,-,-,-,-,-,-,-,25
170710_1310,3,subjects,1,4,2,0,0,1,100,2,0,0,8,7,0,2,13,1950,1950,195,195,0,-1,0.071610417,0,0,600,150,0,21,0,0,20,0,61,-1,99,10,13,1,67,12,60,62,64,1,61,1,-,-,-,-,0,1,0,21,-,-,-,-,-,-,-,-,5
170710_1310,3,subjects,1,5,3,0,0,1,100,4,0,0,3,7,100,2,5,750,500,50,50,1,-1,0.45105505,0,0,400,100,0,25,23,0,0,0,36,-1,99,10,5,1,77,29,38,57,14,1,36,15,-,-,-,-,2,4,1,4,-,-,-,-,-,-,-,-,19
170710_1310,3,subjects,1,6,3,0,0,1,100,3,0,0,3,8,0,2,10,1500,1500,150,150,0,-1,0.921034317,0,0,400,100,0,14,0,21,0,0,118,-1,99,10,10,1,31,57,71,16,69,1,118,4,-,-,-,-,1,2,0,2,-,-,-,-,-,-,-,-,21
170710_1310,3,subjects,1,7,2,0,0,1,100,2,0,0,5,3,0,2,10,1500,1200,120,120,1,-1,0.128415436,0,0,600,150,0,26,0,0,22,0,45,-1,99,10,10,1,42,28,48,24,30,1,45,4,-,-,-,-,2,3,0,10,-,-,-,-,-,-,-,-,11
170710_1310,3,subjects,1,8,4,0,0,1,100,2,0,0,5,10,100,2,9,1350,900,90,90,1,-1,0.778861039,0,0,465,116.25,0,25,0,0,21,0,168,-1,99,10,9,1,82,87,63,79,72,1,168,0,-,-,-,-,1,2,1,-13,-,-,-,-,-,-,-,-,25
170710_1310,3,subjects,1,9,3,0,0,1,100,2,0,0,6,10,0,2,5,750,200,20,20,1,-1,0.063197015,0,0,400,100,0,13,0,0,11,0,119,-1,99,10,5,1,62,97,66,11,69,1,119,6,-,-,-,-,2,4,0,8,-,-,-,-,-,-,-,-,15
170710_1310,3,subjects,1,10,1,0,0,1,100,2,0,0,4,8,0,2,14,2100,0,0,0,1,-1,0.383743656,0,0,55,13.75,0,25,0,0,22,0,94,-1,99,10,14,1,55,16,57,46,30,1,94,2,-,-,-,-,0,1,0,23,-,-,-,-,-,-,-,-,22
170710_1310,3,subjects,1,11,2,0,0,1,100,2,0,0,2,6,100,2,12,1800,1800,180,180,0,-1,0.51216408,0,0,600,150,0,22,0,0,21,0,116,-1,99,10,12,1,27,73,63,13,35,1,116,3,-,-,-,-,1,2,1,21,-,-,-,-,-,-,-,-,22
170710_1310,3,subjects,1,12,4,0,0,1,100,1,0,0,10,4,0,2,7,1050,0,0,0,1,-1,0.897616337,0,0,465,116.25,0,0,0,0,0,21,95,-1,99,10,7,1,28,73,42,17,66,1,95,6,-,-,-,-,2,3,0,11,-,-,-,-,-,-,-,-,20
170710_1310,3,subjects,1,13,4,0,0,1,100,3,0,0,8,10,0,2,5,750,750,75,75,0,-1,0.633981302,0,0,465,116.25,0,18,0,8,0,0,195,-1,99,10,5,1,95,40,19,91,21,1,195,3,-,-,-,-,3,4,0,6,-,-,-,-,-,-,-,-,17
