"","Date","Treatment","Period","Subject","Group","Profit","TotalProfit","Participate","Proposer","Offer","OfferOther","r1","r2","Random","RandomOther","TimeOKInitialInfoOK","nCorrectRET","ProfitRET","Declared","Deduction","TotalDeduction","Cheat","Audited","Fine","DeductionsGroup","MPCR","ReceivedFromGroup","nAdding","rand","limit","limitInf","nCorrectSum","correctAct","add1","add2","add3","add4","add5","i","sumSol","TimeOKRETAddingOK","pred_reward","pred0","pred1","pred2","randround1","randround2","ProfitM2_prediction","RoundToPay","Type","Bonus","TimeFourthMostCorrectInitialPerformanceQuestionOK","TimeThirdMostCorrectInitialPerformanceQuestionOK","TimeSecondMostCorrectInitialPerformanceQuestionOK","TimeMostCorrectInitialPerformanceQuestionOK","TimeFourthMostCorrectRandomPerformanceQuestionOK","TimeThirdMostCorrectRandomPerformanceQuestionOK","TimeSecondMostCorrectRandomPerformanceQuestionOK","TimeMostCorrectRandomPerformanceQuestionOK","ingroupRank1","ingroupRank2","predCorrect","TimeOKDeclareOK","RoundToPayM2","CorrectAnsM2","ProfitRETM2","AuditedM2","DeclaredM2","DeductionM2","GroupPayM2","ProfitM2","TimeOKResultsOK","ProfitM3_prediction","TimeFourthMostInitialPerformanceQuestionOK","TimeThirdMostInitialPerformanceQuestionOK","TimeSecondMostInitialPerformanceQuestionOK","TimeMostInitialPerformanceQuestionOK","TimeFourthMostRandomPerformanceQuestionOK","TimeThirdMostRandomPerformanceQuestionOK","TimeSecondMostRandomPerformanceQuestionOK","TimeMostRandomPerformanceQuestionOK","RoundToPayM3","CorrectAnsM3","ProfitRETM3","AuditedM3","DeclaredM3","DeductionM3","GroupPayM3","ProfitM3","ProfitRiskAv","b","dec[1]","dec[2]","dec[3]","dec[4]","dec[5]","dec[6]","dec[7]","dec[8]","dec[9]","dec[10]","TimeOKInicialRiskAversionOK","rl","r","TimeOKLoteriasOK","k","y","aux","auxpos","TimeOKResultsRiskAvOK","age_subject","gender","Trust","Ideology","Income","PublicTransport","Taxes","DrivingFast","MoneyFound","Lying","AccidentalDamage","Litter","DrivingAlcohol","JobApplication","BuyingStolen","reported_roll_real","reported_roll_digital","actual_roll_digital","number_of_rolls_digital","roll","roll_history[1]","roll_history[2]","roll_history[3]","roll_history[4]","roll_history[5]","roll_history[6]","roll_history[7]","roll_history[8]","roll_history[9]","roll_history[10]","ready","show_roll_button","payamt","TimeReadyActualDiceOK","TimeSubmitActualDiceOK","xv","yv","TimeReadyDigitalDiceOK","TimeSubmitDigitalDiceOK","TimeOKInicialInfoOK","TimeOKInfoIntegrityTestOK","TimeOKIntegrityOK","TimeOKGenderAgeOK","TimeOKIdeologyAndTrustOK","TimeOKIncomeOK","TimePlotSelectDigitalDiceOK","ProfitM1","ProposerM1","OfferM1","OfferOtherM1","LotteryM4","DecisionM4","ProfitM4","ProfitM5real","ProfitM5digital","ProfitM5","TimeOKResultsM1OK","TimeOKResultsM2OK","TimeOKResultsM3OK","TimeOKResultsM4OK","TimeOKResultsM5OK"
"25","170710_1310",2,1,9,1,0,0,1,NA,NA,NA,NA,NA,0.474640539602675,NA,26,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,98,-1,99,10,6,1,66,47,27,35,65,1,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","170710_1310",2,1,10,1,0,0,1,NA,NA,NA,NA,NA,0.96183348398741,NA,26,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,130,-1,99,10,8,1,20,85,88,98,46,1,130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","170710_1310",2,1,11,1,0,0,1,NA,NA,NA,NA,NA,0.21093285419556,NA,25,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,114,-1,99,10,4,1,64,30,94,94,27,1,114,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","170710_1310",2,1,12,1,0,0,1,NA,NA,NA,NA,NA,0.540173331061459,NA,19,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,168,-1,99,10,6,1,72,75,54,10,61,1,168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","170710_1310",2,1,13,1,0,0,1,NA,NA,NA,NA,NA,0.64971828770345,NA,19,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,66,-1,99,10,4,1,96,20,43,77,15,1,66,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","170710_1310",2,1,14,1,0,0,1,NA,NA,NA,NA,NA,0.945826304585592,NA,26,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,93,-1,99,10,11,1,51,21,68,71,90,1,93,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","170710_1310",2,1,15,1,0,0,1,NA,NA,NA,NA,NA,0.115527927929316,NA,0,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,115,-1,99,10,12,1,99,60,39,97,91,1,115,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","170710_1310",2,1,16,1,0,0,1,NA,NA,NA,NA,NA,0.148480464773476,NA,26,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,58,-1,99,10,3,1,70,62,31,18,17,1,58,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","170710_1310",2,2,1,1,0,0,1,NA,NA,NA,NA,NA,0.969900730051985,NA,27,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,79,-1,99,10,10,1,84,35,67,25,83,1,79,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","170710_1310",2,2,2,1,0,0,1,NA,NA,NA,NA,NA,0.31798308916296,NA,29,-1,-1,-1,0,0,-1,-1,0,-1,0.25,0,132,-1,99,10,7,1,51,96,88,24,62,1,132,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
