Session;170710_1310;6;masterfile;Period;AuditRate;TaxRate;Period;Subject;Sujeto;Group;Grupo;Profit;nCorrectRET;ProfitRET;Declared;Deduction;TotalDeduction;Cheat;Type;Audited;Fine;DeductionsGroup;ReceivedFromGroup;TaxRateProposed;nCorrectSum;GroupDG;ProfitDG;ProposerDG;OfferDG;age_subject;gender;Trust;Ideology;Income;PublicTransport;Taxes;jDrivingFast;MoneyFound;Lying;AccidentalDamage;Litter;DrivingAlcohol;JobApplication;BuyingStolen;ProfitRiskAv;dec1;dec2;jdec3;dec4;dec5;dec6;dec7;dec8;dec9;dec10;HLJump;SafeChoices;init_pred;avg_pred;realdie;digitaldie;digitaldielie;lastroll
1;170710_1310;6;masterfile;3;0;10;3;1;1;2;-1;1523.75;10;1500;0;0;0;1;-1;0;0;95;23.75;-1;10;5;900;1;100;24;1;0;2;89;1;1;3;3;3;2;1;1;1;2;1.6;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;2;0;5
1;170710_1310;6;masterfile;3;0;10;3;2;2;3;-1;1687.5;11;1650;0;0;0;1;-1;0;0;150;37.5;-1;11;6;600;1;400;25;0;1;1;4;3;1;3;3;3;1;1;1;1;1;0.1;0;0;0;0;0;0;1;1;1;1;7;6;4;3.666666667;1;3;0;3
1;170710_1310;6;masterfile;3;0;10;3;3;3;2;-1;848.75;6;900;750;75;75;1;-1;0;0;95;23.75;-1;6;2;600;1;400;22;0;0;2;3;2;1;2;3;2;1;1;1;1;2;2;0;0;0;0;0;1;1;1;1;1;6;5;3;3.333333333;3;6;0;6
1;170710_1310;6;masterfile;3;0;10;3;4;4;1;-1;2152.25;15;2250;2250;225;225;0;-1;0;0;509;127.25;-1;15;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;3;0;10;3;5;5;3;-1;1327.5;9;1350;600;60;60;1;-1;0;0;150;37.5;-1;9;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
1;170710_1310;6;masterfile;3;0;10;3;6;6;3;-1;847.5;6;900;900;90;90;0;-1;0;0;150;37.5;-1;6;6;400;0;0;24;1;0;2;11;2;2;2;3;3;2;2;1;3;3;2;0;0;0;0;0;0;1;1;1;1;7;6;3;3.666666667;4;3;0;3
1;170710_1310;6;masterfile;3;0;10;3;7;7;4;-1;1203.75;8;1200;900;90;90;1;-1;0;0;375;93.75;-1;8;3;500;1;500;23;0;1;1;5;2;1;3;3;3;2;2;1;2;2;0.1;0;0;0;0;0;1;1;1;1;1;6;5;2;1.666666667;1;1;0;1
1;170710_1310;6;masterfile;3;0;10;3;8;8;1;-1;982.25;6;900;450;45;45;1;-1;0;0;509;127.25;-1;6;1;500;1;500;22;0;1;1;89;2;2;2;3;3;3;2;1;2;3;0.1;0;0;0;0;0;0;0;0;1;1;9;8;2;2;3;3;0;3
1;170710_1310;6;masterfile;3;0;10;3;9;9;2;-1;1203.75;8;1200;200;20;20;1;-1;0;0;95;23.75;-1;8;7;500;0;300;24;0;1;1;1;2;1;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;6;0;6
1;170710_1310;6;masterfile;3;0;10;3;10;10;3;-1;2137.5;14;2100;0;0;0;1;-1;0;0;150;37.5;-1;14;7;500;1;500;20;1;0;2;1;2;1;2;4;3;1;1;2;2;2;1.6;0;0;0;0;1;1;1;1;1;1;5;4;2;2;5;4;0;4
1;170710_1310;6;masterfile;3;0;10;3;11;11;4;-1;1713.75;12;1800;1800;180;180;0;-1;0;0;375;93.75;-1;12;5;100;0;500;28;1;0;0;4;1;1;1;3;3;1;1;1;1;1;0.1;0;0;0;0;1;1;1;1;1;1;5;4;2;2.333333333;6;5;1;5
1;170710_1310;6;masterfile;3;0;10;3;12;12;4;-1;1593.75;10;1500;0;0;0;1;-1;0;0;375;93.75;-1;10;4;600;1;400;19;0;0;5;88;3;1;3;3;1;2;1;1;2;3;3.85;1;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;0;2
1;170710_1310;6;masterfile;3;0;10;3;13;13;4;-1;1038.75;7;1050;1050;105;105;0;-1;0;0;375;93.75;-1;7;8;100;0;400;22;0;0;1;89;3;1;2;3;2;1;1;2;2;2;2;0;0;0;0;1;0;1;1;1;1;5;5;3;2.666666667;2;5;1;5
1;170710_1310;6;masterfile;3;0;10;3;14;14;2;-1;1973.75;13;1950;0;0;0;1;-1;0;0;95;23.75;-1;13;8;900;1;100;21;0;0;4;89;2;1;2;3;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;10;9;2;1.666666667;5;6;0;6
1;170710_1310;6;masterfile;3;0;10;3;15;15;1;-1;2017.25;14;2100;2100;210;210;0;-1;0;0;509;127.25;-1;14;3;500;0;300;19;1;0;4;3;1;1;3;1;1;1;1;1;1;1;1.6;0;0;0;0;1;1;1;1;1;1;5;4;1;1.333333333;3;1;0;1
1;170710_1310;6;masterfile;3;0;10;3;16;16;1;-1;398.25;2;300;290;29;29;1;-1;0;0;509;127.25;-1;2;4;400;0;500;20;0;0;2;2;3;1;2;3;3;2;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;4;4;5;2;0;2
1;170710_1310;6;masterfile;4;0;10;4;1;1;4;-1;1591.25;11;1650;1600;160;160;1;-1;0;0;405;101.25;-1;11;5;900;1;100;24;1;0;2;89;1;1;3;3;3;2;1;1;1;2;1.6;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;2;0;5
1;170710_1310;6;masterfile;4;0;10;4;2;2;1;-1;1875;12;1800;0;0;0;1;-1;0;0;300;75;-1;12;6;600;1;400;25;0;1;1;4;3;1;3;3;3;1;1;1;1;1;0.1;0;0;0;0;0;0;1;1;1;1;7;6;4;3.666666667;1;3;0;3
1;170710_1310;6;masterfile;4;0;10;4;3;3;3;-1;985;7;1050;900;90;90;1;-1;0;0;100;25;-1;7;2;600;1;400;22;0;0;2;3;2;1;2;3;2;1;1;1;1;2;2;0;0;0;0;0;1;1;1;1;1;6;5;3;3.333333333;3;6;0;6
1;170710_1310;6;masterfile;4;0;10;4;4;4;1;-1;1425;10;1500;1500;150;150;0;-1;0;0;300;75;-1;10;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;4;0;10;4;5;5;4;-1;831.25;5;750;200;20;20;1;-1;0;0;405;101.25;-1;5;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
1;170710_1310;6;masterfile;4;0;10;4;6;6;2;-1;1318.75;9;1350;1350;135;135;0;-1;0;0;415;103.75;-1;9;6;400;0;0;24;1;0;2;11;2;2;2;3;3;2;2;1;3;3;2;0;0;0;0;0;0;1;1;1;1;7;6;3;3.666666667;4;3;0;3
1;170710_1310;6;masterfile;4;0;10;4;7;7;1;-1;1485;10;1500;900;90;90;1;-1;0;0;300;75;-1;10;3;500;1;500;23;0;1;1;5;2;1;3;3;3;2;2;1;2;2;0.1;0;0;0;0;0;1;1;1;1;1;6;5;2;1.666666667;1;1;0;1
1;170710_1310;6;masterfile;4;0;10;4;8;8;1;-1;1215;8;1200;600;60;60;1;-1;0;0;300;75;-1;8;1;500;1;500;22;0;1;1;89;2;2;2;3;3;3;2;1;2;3;0.1;0;0;0;0;0;0;0;0;1;1;9;8;2;2;3;3;0;3
1;170710_1310;6;masterfile;4;0;10;4;9;9;3;-1;1065;7;1050;100;10;10;1;-1;0;0;100;25;-1;7;7;500;0;300;24;0;1;1;1;2;1;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;6;0;6
1;170710_1310;6;masterfile;4;0;10;4;10;10;3;-1;2275;15;2250;0;0;0;1;-1;0;0;100;25;-1;15;7;500;1;500;20;1;0;2;1;2;1;2;4;3;1;1;2;2;2;1.6;0;0;0;0;1;1;1;1;1;1;5;4;2;2;5;4;0;4
1;170710_1310;6;masterfile;4;0;10;4;11;11;4;-1;2126.25;15;2250;2250;225;225;0;-1;0;0;405;101.25;-1;15;5;100;0;500;28;1;0;0;4;1;1;1;3;3;1;1;1;1;1;0.1;0;0;0;0;1;1;1;1;1;1;5;4;2;2.333333333;6;5;1;5
1;170710_1310;6;masterfile;4;0;10;4;12;12;3;-1;1375;9;1350;0;0;0;1;-1;0;0;100;25;-1;9;4;600;1;400;19;0;0;5;88;3;1;3;3;1;2;1;1;2;3;3.85;1;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;0;2
1;170710_1310;6;masterfile;4;0;10;4;13;13;2;-1;1048.75;7;1050;1050;105;105;0;-1;0;0;415;103.75;-1;7;8;100;0;400;22;0;0;1;89;3;1;2;3;2;1;1;2;2;2;2;0;0;0;0;1;0;1;1;1;1;5;5;3;2.666666667;2;5;1;5
1;170710_1310;6;masterfile;4;0;10;4;14;14;4;-1;2051.25;13;1950;0;0;0;1;-1;0;0;405;101.25;-1;13;8;900;1;100;21;0;0;4;89;2;1;2;3;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;10;9;2;1.666666667;5;6;0;6
1;170710_1310;6;masterfile;4;0;10;4;15;15;2;-1;2053.75;14;2100;1500;150;150;1;-1;0;0;415;103.75;-1;14;3;500;0;300;19;1;0;4;3;1;1;3;1;1;1;1;1;1;1;1.6;0;0;0;0;1;1;1;1;1;1;5;4;1;1.333333333;3;1;0;1
1;170710_1310;6;masterfile;4;0;10;4;16;16;2;-1;378.75;2;300;250;25;25;1;-1;0;0;415;103.75;-1;2;4;400;0;500;20;0;0;2;2;3;1;2;3;3;2;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;4;4;5;2;0;2
