"sujeto","grupo","cheat","ncorrectret","percevaded","safechoices","period","offerdg","auditrate","taxrate","profitret","perform_high","treatment_lab","treatment2_lab","realdie","die_type"
640,157,1,13,0.0256410259753466,4,7,400,0,10,1950,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,158,0,11,0,4,5,400,0,10,1650,0,"Non-fixed","Non-fixed",1,"Incentivized die"
640,158,0,12,0,4,3,400,0,10,1800,0,"Non-fixed","Non-fixed",1,"Incentivized die"
641,159,0,7,0,6,4,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,157,0,8,0,6,9,400,0,10,1200,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,160,0,7,0,6,7,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,159,0,7,0,6,8,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,160,0,7,0,6,3,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,158,0,7,0,6,6,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,157,0,8,0,6,10,400,0,10,1200,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,158,0,6,0,6,2,400,0,10,900,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,159,1,5,0.0666666701436043,6,1,400,0,10,750,0,"Non-fixed","Non-fixed",6,"Incentivized die"
641,157,0,7,0,6,5,400,0,10,1050,0,"Non-fixed","Non-fixed",6,"Incentivized die"
642,157,1,13,1,3,3,500,0,10,1950,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,158,1,14,1,3,4,500,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,158,1,14,0.980952382087708,3,7,500,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,157,0,13,0,3,1,500,0,10,1950,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,157,0,13,0,3,2,500,0,10,1950,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,157,1,9,0.997037053108215,3,6,500,0,10,1350,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,160,1,15,0.982222199440002,3,8,500,0,10,2250,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,160,1,11,0.951515138149261,3,5,500,0,10,1650,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,157,1,17,0.984313726425171,3,10,500,0,10,2550,1,"Non-fixed","Non-fixed",4,"Incentivized die"
642,159,1,13,0.979487180709839,3,9,500,0,10,1950,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,159,1,12,1,6,6,100,0,10,1800,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,158,1,12,1,6,4,100,0,10,1800,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,159,1,13,1,6,5,100,0,10,1950,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,160,1,10,1,6,3,100,0,10,1500,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,157,1,14,1,6,2,100,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,160,1,9,1,6,9,100,0,10,1350,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,157,1,12,1,6,10,100,0,10,1800,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,159,1,9,1,6,8,100,0,10,1350,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,157,1,10,1,6,7,100,0,10,1500,1,"Non-fixed","Non-fixed",4,"Incentivized die"
643,158,1,14,1,6,1,100,0,10,2100,1,"Non-fixed","Non-fixed",4,"Incentivized die"
644,160,1,15,1,5,6,0,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,157,1,15,1,5,3,0,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,160,1,17,1,5,9,0,0,10,2550,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,160,1,19,1,5,1,0,0,10,2850,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,158,1,20,1,5,10,0,0,10,3000,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,158,1,20,1,5,4,0,0,10,3000,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,160,1,20,1,5,2,0,0,10,3000,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,158,1,23,1,5,8,0,0,10,3450,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,160,1,18,1,5,7,0,0,10,2700,1,"Non-fixed","Non-fixed",6,"Incentivized die"
644,160,1,16,1,5,5,0,0,10,2400,1,"Non-fixed","Non-fixed",6,"Incentivized die"
645,164,1,13,1,8,3,500,0,10,1950,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,162,1,13,1,8,8,500,0,10,1950,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,163,1,12,1,8,2,500,0,10,1800,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,163,1,13,1,8,6,500,0,10,1950,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,164,1,13,1,8,7,500,0,10,1950,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,164,1,15,1,8,4,500,0,10,2250,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,161,0,10,0,8,1,500,0,10,1500,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,163,1,13,1,8,5,500,0,10,1950,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,162,1,16,1,8,10,500,0,10,2400,1,"Non-fixed","Non-fixed",2,"Incentivized die"
645,161,1,15,1,8,9,500,0,10,2250,1,"Non-fixed","Non-fixed",2,"Incentivized die"
646,164,1,10,1,6,4,0,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,163,1,11,1,6,5,0,0,10,1650,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,163,1,14,1,6,3,0,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,163,1,11,1,6,2,0,0,10,1650,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,161,1,9,1,6,6,0,0,10,1350,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,162,1,12,1,6,8,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,161,1,14,1,6,7,0,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,162,1,12,1,6,10,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,164,1,12,1,6,9,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
646,163,1,11,1,6,1,0,0,10,1650,1,"Non-fixed","Non-fixed",6,"Incentivized die"
647,163,0,10,0,6,6,400,0,10,1500,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,161,0,9,0,6,10,400,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,164,0,9,0,6,2,400,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,162,1,10,0.899999976158142,6,4,400,0,10,1500,0,"Non-fixed","Non-fixed",5,"Incentivized die"
647,162,1,9,0.899999976158142,6,9,400,0,10,1350,0,"Non-fixed","Non-fixed",5,"Incentivized die"
